Отчет о ключевых словах в поисковой сети
22 июня 2025 г. - 28 июля 2025 г.
Статус ключевых слов,Ключевое слово,Тип соответствия,Кампания,Группа объявлений,Статус,Причины статуса,Конечный URL,Kлики,Показы,CTR,Код валюты,Ср. цена за клик,Расходы,Коэфф. конверсии,Ценность конв.,Ценн. конв./стоим.,Конверсии,Стоимость/конв.
Включено,белый petg,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,5,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,polymaker petg,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,1,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,красный petg,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,3д печать,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,3,75,"4,00%",UAH,"5,51","16,52","100,00%","125,21","7,58","3,00","5,51"
Включено,купить petg пластик,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,1,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,[techfil],Точное соответствие,PETG-RU,PETG-RU-General,Допущено,,,2,2,"100,00%",UAH,"3,15","6,30","3050,00%","2 547,81","404,42","61,00","0,10"
Включено,pet g купить,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,1,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,sunlu petg,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,12,121,"9,92%",UAH,"4,65","55,80","283,33%","2 272,29","40,72","34,00","1,64"
Включено,пластик для 3д принтера цена,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,abs пластик для 3d принтера купить,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,пластик для 3d принтера petg,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,купить copet,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,petg сравнение,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
